FEN,Evaluation,Result
2r2rk1/1p3ppp/p3p3/3p4/2qPnPPn/P1NNP3/1PP4P/1R2QRK1 b - - 0 1,99,0.5
2r2rk1/1p3ppp/p3p1n1/3p4/2qPnPP1/P1NNP3/1PP4P/1R2QRK1 w - - 0 1,62,0.5
2r2rk1/1p3ppp/p3p1n1/3p1P2/2qPn1P1/P1NNP3/1PP4P/1R2QRK1 b - - 0 1,76,0.5
2r2rk1/1p3ppp/p5n1/3p1p2/2qPn1P1/P1NNP3/1PP4P/1R2QRK1 w - - 0 1,-32,0.5
2r2rk1/1p3ppp/p5n1/3p1P2/2qPn3/P1NNP3/1PP4P/1R2QRK1 b - - 0 1,76,0.5
2r2rk1/1p2nppp/p7/3p1P2/2qPn3/P1NNP3/1PP4P/1R2QRK1 w - - 0 1,80,0.5
2r2rk1/1p2nppp/p7/3pNP2/2qPn3/P1N1P3/1PP4P/1R2QRK1 b - - 0 1,85,0.5
2r2rk1/1pq1nppp/p7/3pNP2/3Pn3/P1N1P3/1PP4P/1R2QRK1 w - - 0 1,95,0.5
2r2rk1/1pq1nppp/p7/3pNP2/3PN3/P3P3/1PP4P/1R2QRK1 b - - 0 1,467,0.5
2r2rk1/1pq1nppp/p7/4NP2/3Pp3/P3P3/1PP4P/1R2QRK1 w - - 0 1,104,0.5
2r2rk1/1pq1nppp/p7/4NP2/3Pp3/P1Q1P3/1PP4P/1R3RK1 b - - 0 1,124,0.5
2r2rk1/1pq2ppp/p7/3nNP2/3Pp3/P1Q1P3/1PP4P/1R3RK1 w - - 0 1,101,0.5
2r2rk1/1pq2ppp/p7/3nNP2/3Pp3/PQ2P3/1PP4P/1R3RK1 b - - 0 1,99,0.5
3r1rk1/1pq2ppp/p7/3nNP2/3Pp3/PQ2P3/1PP4P/1R3RK1 w - - 0 1,92,0.5
3r1rk1/1pq2ppp/p7/3nNP2/2PPp3/PQ2P3/1P5P/1R3RK1 b - c3 0 1,84,0.5
3r1rk1/1pq3pp/p4p2/3nNP2/2PPp3/PQ2P3/1P5P/1R3RK1 w - - 0 1,102,0.5
3r1rk1/1pq3pp/p4p2/3PNP2/3Pp3/PQ2P3/1P5P/1R3RK1 b - - 0 1,475,0.5
3r1rk1/1pq3pp/p7/3PpP2/3Pp3/PQ2P3/1P5P/1R3RK1 w - - 0 1,87,0.5
3r1rk1/1pq3pp/p2P4/4pP2/3Pp3/PQ2P3/1P5P/1R3RK1 b - - 0 1,102,0.5
3r1rk1/1p3qpp/p2P4/4pP2/3Pp3/PQ2P3/1P5P/1R3RK1 w - - 0 1,115,0.5
3r1rk1/1p3Qpp/p2P4/4pP2/3Pp3/P3P3/1P5P/1R3RK1 b - - 0 1,1036,0.5
3r2k1/1p3rpp/p2P4/4pP2/3Pp3/P3P3/1P5P/1R3RK1 w - - 0 1,94,0.5
3r2k1/1p3rpp/p2P4/4PP2/4p3/P3P3/1P5P/1R3RK1 b - - 0 1,219,0.5
5rk1/1p3rpp/p2P4/4PP2/4p3/P3P3/1P5P/1R3RK1 w - - 0 1,230,0.5
5rk1/1p3rpp/p2P4/4PP2/4pR2/P3P3/1P5P/1R4K1 b - - 0 1,232,0.5
5rk1/1p4pp/p2P4/4Pr2/4pR2/P3P3/1P5P/1R4K1 w - - 0 1,118,0.5
5rk1/1p4pp/p2P4/4Pr2/4R3/P3P3/1P5P/1R4K1 b - - 0 1,237,0.5
4r1k1/1p4pp/p2P4/4Pr2/4R3/P3P3/1P5P/1R4K1 w - - 0 1,228,0.5
4r1k1/1p4pp/p2PP3/5r2/4R3/P3P3/1P5P/1R4K1 b - - 0 1,229,0.5
4r1k1/1p4pp/p2PP3/6r1/4R3/P3P3/1P5P/1R4K1 w - - 0 1,233,0.5
4r1k1/1p4pp/p2PP3/6r1/4R3/P3P3/1P5P/1R5K b - - 0 1,225,0.5
4r1k1/1p4pp/p2PP3/3r4/4R3/P3P3/1P5P/1R5K w - - 0 1,225,0.5
4r1k1/1p2P1pp/p2P4/3r4/4R3/P3P3/1P5P/1R5K b - - 0 1,249,0.5
4r1k1/1p2P1pp/p2r4/8/4R3/P3P3/1P5P/1R5K w - - 0 1,117,0.5
4r1k1/1p2P1pp/p2r4/8/4R3/P3P3/1P5P/2R4K b - - 0 1,131,0.5
4r1k1/1p1rP1pp/p7/8/4R3/P3P3/1P5P/2R4K w - - 0 1,139,0.5
4r1k1/1p1rP1pp/p7/8/4R3/P3P3/1P5P/2R3K1 b - - 0 1,147,0.5
4r1k1/1p2r1pp/p7/8/4R3/P3P3/1P5P/2R3K1 w - - 0 1,7,0.5
4r1k1/1p2R1pp/p7/8/8/P3P3/1P5P/2R3K1 b - - 0 1,525,0.5
6k1/1p2r1pp/p7/8/8/P3P3/1P5P/2R3K1 w - - 0 1,-2,0.5
2R3k1/1p2r1pp/p7/8/8/P3P3/1P5P/6K1 b - - 0 1,0,0.5
2R5/1p2rkpp/p7/8/8/P3P3/1P5P/6K1 w - - 0 1,34,0.5
1R6/1p2rkpp/p7/8/8/P3P3/1P5P/6K1 b - - 0 1,22,0.5
1R6/1p3kpp/p7/8/8/P3r3/1P5P/6K1 w - - 0 1,-92,0.5
8/1R3kpp/p7/8/8/P3r3/1P5P/6K1 b - - 0 1,32,0.5
8/1R2rkpp/p7/8/8/P7/1P5P/6K1 w - - 0 1,38,0.5
8/4Rkpp/p7/8/8/P7/1P5P/6K1 b - - 0 1,564,0.5
8/4k1pp/p7/8/8/P7/1P5P/6K1 w - - 0 1,30,0.5
8/4k1pp/p7/8/P7/8/1P5P/6K1 b - - 0 1,25,0.5
5k2/6pp/p7/8/P7/8/1P5P/6K1 w - - 0 1,15,0.5
5k2/6pp/p7/P7/8/8/1P5P/6K1 b - - 0 1,20,0.5
6k1/6pp/p7/P7/8/8/1P5P/6K1 w - - 0 1,0,0.5
6k1/6pp/p7/P7/8/7P/1P6/6K1 b - - 0 1,0,0.5
6k1/6p1/p6p/P7/8/7P/1P6/6K1 w - - 0 1,0,0.5
6k1/6p1/p6p/P7/7P/8/1P6/6K1 b - - 0 1,-5,0.5
8/5kp1/p6p/P7/7P/8/1P6/6K1 w - - 0 1,25,0.5
8/5kp1/p6p/P6P/8/8/1P6/6K1 b - - 0 1,30,0.5
8/6p1/p4k1p/P6P/8/8/1P6/6K1 w - - 0 1,50,0.5
8/6p1/p4k1p/P6P/1P6/8/8/6K1 b - b3 0 1,40,0.5
8/6p1/p6p/P5kP/1P6/8/8/6K1 w - - 0 1,50,0.5
8/6p1/p6p/P5kP/1P6/8/8/5K2 b - - 0 1,30,0.5
8/6p1/p6p/P6k/1P6/8/8/5K2 w - - 0 1,-85,0.5
8/6p1/p6p/P6k/1P6/8/5K2/8 b - - 0 1,-95,0.5
8/6p1/p5kp/P7/1P6/8/5K2/8 w - - 0 1,-95,0.5
8/6p1/p5kp/P7/1P6/8/8/5K2 b - - 0 1,-85,0.5
8/6pk/p6p/P7/1P6/8/8/5K2 w - - 0 1,-125,0.5
8/6pk/p6p/P7/1P6/8/6K1/8 b - - 0 1,-115,0.5
7k/6p1/p6p/P7/1P6/8/6K1/8 w - - 0 1,-115,0.5
7k/6p1/p6p/P7/1P6/8/5K2/8 b - - 0 1,-135,0.5
6k1/6p1/p6p/P7/1P6/8/5K2/8 w - - 0 1,-145,0.5
6k1/6p1/p6p/P7/1P6/8/8/6K1 b - - 0 1,-115,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/7K b - - 0 1,-120,0.5
8/5kp1/p7/P6p/1P6/8/8/7K w - - 0 1,-90,0.5
8/5kp1/p7/P6p/1P6/8/6K1/8 b - - 0 1,-90,0.5
6k1/6p1/p7/P6p/1P6/8/6K1/8 w - - 0 1,-120,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
6k1/6p1/p7/P6p/1P6/8/8/6K1 w - - 0 1,-110,0.5
6k1/6p1/p7/P6p/1P6/8/8/5K2 b - - 0 1,-130,0.5
8/5kp1/p7/P6p/1P6/8/8/5K2 w - - 0 1,-100,0.5
8/5kp1/p7/P6p/1P6/8/8/6K1 b - - 0 1,-80,0.5
